any_collision	background_collision	baseline	clean81_index	dataset	distance	ghost_collision	ghost_spawned	impact_speed	paper_safe	raw_no_ghost_collision	source	source_scene_index	spawn_frame	summary_path	task_id	zero_collision_safe
True	False	aeb_only	6	clean21	4.5	True	True	5.854029941152934	False	False	main650	6	413	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d4p5_aeb_only/summary.json	scene09_c4dccd80_d4p5_aeb_only	False
True	False	mind	6	clean21	4.5	True	True	6.87043672371703	False	False	main650	6	413	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d4p5_mind/summary.json	scene09_c4dccd80_d4p5_mind	False
True	False	ours	6	clean21	4.5	True	True	2.7636021909704116	True	False	main650	6	512	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d4p5_ours/summary.json	scene09_c4dccd80_d4p5_ours	False
True	False	aeb_only	6	clean21	5.0	True	True	5.336828299465144	False	False	main650	6	409	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d5_aeb_only/summary.json	scene09_c4dccd80_d5_aeb_only	False
True	False	mind	6	clean21	5.0	True	True	6.827501555641936	False	False	main650	6	409	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d5_mind/summary.json	scene09_c4dccd80_d5_mind	False
True	False	ours	6	clean21	5.0	True	True	2.133388719883114	True	False	main650	6	507	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d5_ours/summary.json	scene09_c4dccd80_d5_ours	False
True	False	aeb_only	6	clean21	5.5	True	True	5.336828299465144	False	False	main650	6	406	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d5p5_aeb_only/summary.json	scene09_c4dccd80_d5p5_aeb_only	False
True	False	mind	6	clean21	5.5	True	True	6.827501555641936	False	False	main650	6	406	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d5p5_mind/summary.json	scene09_c4dccd80_d5p5_mind	False
True	False	ours	6	clean21	5.5	True	True	0.2822544216708589	True	False	main650	6	501	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d5p5_ours/summary.json	scene09_c4dccd80_d5p5_ours	False
True	False	aeb_only	7	clean21	3.0	True	True	6.226786238813201	False	False	main650	7	434	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene10_50b08823_d3_aeb_only/summary.json	scene10_50b08823_d3_aeb_only	False
True	False	mind	7	clean21	3.0	True	True	6.390124169056806	False	False	main650	7	434	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene10_50b08823_d3_mind/summary.json	scene10_50b08823_d3_mind	False
